"","Data","kty_mv","brs_mv","cog_mv","kgh_mv","stp_mv","odl_mv","fer_mv","mnc_mv","kmp_mv","suw_mv","plx_mv","cie_mv","erg_mv","zap_mv","pce_mv","rdl_mv","obl_mv","att_mv","krc_mv","zwc_mv","vrg_mv","dbc_mv","fte_mv","ksw_mv","lbw_mv","snk_mv","amc_mv","pps_mv","wwl_mv","gcn_mv","snw_mv","prt_mv","lpp_mv","gob_mv","rdn_mv","car_mv","ccc_mv","amb_mv","mil_mv","mbk_mv","spl_mv","ing_mv","bhw_mv","imp_mv","ats_mv","peo_mv","bos_mv","mci_mv","gtn_mv","pko_mv","cpa_mv","inc_mv","bst_mv","gki_mv","mwt_mv","kri_mv","prf_mv","pgm_mv","kci_mv","ago_mv","mza_mv","atg_mv","eur_mv","eat_mv","slz_mv","sfs_mv","act_mv","abe_mv","etl_mv","oex_mv","kom_mv","opn_mv","rbw_mv","asb_mv","lrq_mv","mcp_mv","neu_mv","swd_mv","bio_mv","emc_mv","crm_mv","phr_mv","mab_mv","slv_mv","snt_mv","vox_mv","mdg_mv","bml_mv","bra_mv","ene_mv","mrc_mv","awm_mv","adv_mv","mph_mv","bkm_mv","pkn_mv","kgn_mv","bdz_mv","pep_mv","lts_mv","pgn_mv","cez_mv","mol_mv","ena_mv","pge_mv","sen_mv","tpe_mv","zep_mv","irl_mv","trr_mv","unt_mv","eng_mv","pen_mv","mls_mv","efk_mv","stx_mv","rlp_mv","apt_mv","nvt_mv","tim_mv","hdr_mv","stf_mv","fsg_mv","pue_mv","ipl_mv","dga_mv","rwl_mv","dpl_mv","mgt_mv","len_mv","fmf_mv","arr_mv","wlt_mv","msw_mv","rfk_mv","msz_mv","prm_mv","bdx_mv","rmk_mv","ech_mv","elb_mv","ltx_mv","mdi_mv","bbd_mv","shd_mv","pxm_mv","rpc_mv","msp_mv","enp_mv","pnd_mv","wik_mv","ulm_mv","cdr_mv","sgn_mv","acp_mv","opl_mv","cmr_mv","elz_mv","net_mv","was_mv","tlx_mv","sme_mv","bcm_mv","cmp_mv","lsi_mv","ntt_mv","prd_mv","cig_mv","u2k_mv","abs_mv","cps_mv"
"1",2007-08-13,920.24,1272.43,309.05,10325.77,5674.85,90.32,165.67,567.24,31.188,53.7,78.187,2935.23,46.561,1037.55,1073.04,238.84,NA,NA,NA,2419.37,1199.32,864.91,191.57,609.09,182.72,391.66,149.75,199.88,362.9,254.6,151.35,157.88,3115.73,1170.3,124.16,1625.19,2014.95,185.72,9441.92,13829.65,13780.18,8751.46,7026.03,314.45,26.29,23293.87,1293.97,952.39,8981.57,39128.67,247.37,124.65,286,NA,NA,62.672,NA,283.87,NA,1848.18,22.67,398,1032.5,1471.5,168.07,464.05,198.34,225.17,30.645,91.261,NA,NA,NA,NA,NA,NA,250.99,157.06,4001.2,200.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17682.32,589.89,81.143,701.03,4885.86,20304.91,44904.8,31615.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.414,961.12,112.78,461.1,44.782,590.65,97.82,510.49,54.818,389.16,278.22,43.774,1360.89,315.37,60.198,131.7,1135.16,76.456,NA,740.41,764.7,1347.66,300.07,1186.09,79.683,909.33,614.11,314.36,32.764,349.51,428.79,4161.11,211.36,129.48,27.929,2611.42,95.35,1039.79,33.508,637.99,2139.02,15333.82,1451.03,72.138,1112.62,322.52,23.408,12.496,25.624,364.58,38.763,163.6,33.204,NA,23.057,NA,NA
"2",2007-08-14,901.17,1281.67,289.12,10103.5,5674.85,88.232,160.27,569.49,30.75,53.7,78.187,2893.88,49.032,1014.02,1049.27,252.11,NA,NA,NA,2479.65,1179.27,864.91,191.57,632.71,180.21,387.83,148.72,198.15,362.9,245.45,147.34,160.14,3027.13,1133.66,125.42,1594.45,1982.97,189.44,9521.28,13706.28,13763.79,9003.99,6925.65,301.28,25.67,22915.91,1293.97,913.51,8853.07,38390.43,236.79,128.35,314.6,NA,NA,57.067,NA,282.03,NA,1841,23.67,400.03,1022.76,1467.45,167.42,464.05,200.03,225.17,30.828,84.142,NA,NA,NA,NA,NA,NA,251.85,156.11,3565.69,186.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473.37,570.47,81.143,696.92,4844.37,20519.14,44934.77,31189.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.379,898.34,108.63,450.63,44.083,587.7,94.068,490.99,51.652,377.15,281.32,43.414,1384.84,292.21,62.968,123.12,976.76,76.645,NA,726.95,768.51,1368.59,301.74,1171.76,76.914,885.7,588.06,314.72,33.542,340.37,428.79,4196.84,199.02,128.49,25.069,2573.74,91.94,1030.64,33.596,548.78,2100.13,15333.82,1433.58,72.047,1126.35,324.8,23.7,11.964,25.749,372.2,39.061,172.25,32.135,NA,22.494,NA,NA
"3",2007-08-16,881.14,1170.75,218.94,9538.57,5410.23,77.572,122.72,538.04,24.227,50.3,70.795,2687.18,38.046,1014.02,1023.52,233.15,NA,NA,NA,2354.5,1123.11,857.12,171.04,595.42,156.74,379.67,140.47,179.13,326.08,236.58,110.26,138.96,2945.9,1012.2,104.69,1389.43,1807.06,186.8,8791.31,13295.15,13316.29,8762.4,6624.56,254.96,20.58,21734.63,1230.92,789.41,7818.29,35747.41,182.7,126.76,304.85,NA,NA,48.623,NA,219.77,NA,1759.67,18.11,380,994.47,1409.4,146.39,464.05,174.92,214.45,28.424,82.638,NA,NA,NA,NA,NA,NA,248.96,128.51,3021.31,165.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16653.51,561.27,81.119,658.11,4460.56,19319.71,41939.11,29841.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.29,725.74,89.039,434.59,37.279,587.7,86.439,415.95,41.855,351.45,267.92,38.16,1384.84,241.72,56.517,118.07,834.21,69.814,NA,663.48,671.57,1286.12,268.06,1070.26,69.363,815.34,556.95,274.89,30.418,283.26,369.98,3734.29,171.92,126.23,22.86,2211.63,74.92,881.46,28.261,519.04,2048.27,14640.2,1273.47,67.645,1057.67,259.53,22.792,11.428,24.674,364.58,29.269,157.69,25.833,NA,20.57,NA,NA
"4",2007-08-17,858.25,1112.21,235.51,9909.02,5586.65,79.664,129.71,547.16,26.166,49.09,73.125,2630.61,38.77,1024.25,1066.43,226.52,NA,NA,NA,2456.47,1163.22,841.53,171.04,645.15,166.8,370.18,138.56,184.11,340.19,250.68,120.28,151.93,2990.2,1083.54,108.88,1424.74,1899.81,189.44,8973.8,13212.91,13643.77,9333.43,6925.65,265.16,21.08,22037.07,1139.35,875.42,8115.88,37061.57,198.33,128.35,305.44,NA,NA,51.273,NA,221.6,NA,1724.59,18.77,380,965.23,1417.5,158.52,482.61,201.83,214.45,28.257,82.638,NA,NA,NA,NA,NA,NA,248.82,140.4,3130.19,170.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16669.58,570.99,81.119,659.9,4522.79,19790.85,43436.95,29770.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.384,713.97,83.105,468.02,35.882,595.05,84.024,401.96,43.133,342.87,278.22,11.836,1360.89,257.76,59.892,126.88,857.96,70.768,NA,680.6,714.66,1403.04,283.41,980.89,67.125,787.29,574.23,273.47,33.172,290.11,398.44,3714.65,175.86,126.94,24.03,2248.07,88.54,880.4,31.301,508.23,2139.02,15041.75,1317.15,69.262,1052.19,273.21,22.53,12.602,23.004,362.91,33.47,161.25,27.354,NA,21.37,NA,NA
"5",2007-08-20,858.25,1116.53,237.47,9797.91,5704.26,82.753,134.13,555.82,31.617,50.6,79.197,2589.27,40.595,1018.1,1049.93,227.47,NA,NA,NA,2479.65,1163.22,857.12,171.04,633.95,170.15,377.17,143.28,181.05,341.85,250.11,119.28,149.42,3012.36,1058.47,110.97,1457.78,1903.01,193.55,9275.31,13322.53,13878.39,9503.64,7026.03,283.86,22.82,21895.27,1302.97,903.69,8251.14,37098.45,202.18,139.67,334.1,NA,NA,53.924,NA,231.67,NA,1762.07,19.14,376.01,965.23,1416.15,153.67,477.04,211.7,230.32,28.829,82.71,NA,NA,NA,NA,NA,NA,257.64,142.78,3239.06,169.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17344.76,576.6,81.119,648.99,4346.46,20262.09,43736.52,28800.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.402,737.51,83.762,448.19,38.444,603.13,84.666,401.52,44.596,366.02,288.54,11.727,1386.09,267.76,59.741,126.29,889.65,72.307,NA,710.6,736.19,1364.9,296.75,993.02,67.041,771.06,583.54,281.94,35.517,319.81,425,3732.5,174.31,127.79,25.98,1889.6,95.35,911.01,36.912,459.24,2087.18,15041.75,1266.92,69.262,1104.37,286.86,23.088,12.629,22.917,361.26,30.88,167.13,26.453,NA,20.892,NA,NA
"6",2007-08-21,848.74,1096.81,226.25,9455.26,5492.56,79.664,138.67,555.82,33.014,50.35,79.197,2502.22,39.147,1008.89,1018.23,220.65,NA,NA,NA,2479.65,1131.13,825.94,163.34,656.94,165.12,377.17,143.03,175.77,341.85,249.64,113.26,148.22,3064.02,1027.62,106.57,1457.78,1887.03,189.29,9005.53,13048.41,13343.61,9498.1,7026.03,292.36,21.7,22112.66,1290.22,876.2,8055.01,36293.74,192.32,134.01,334.1,NA,NA,51.228,NA,222.51,NA,1793.95,18.82,360.01,926.23,1390.5,150.43,463.86,210.81,225.17,27.377,84.142,NA,NA,NA,NA,NA,NA,256.77,142.78,3266.28,175.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17103.6,552.59,76.254,618.95,4460.56,19362.55,44095.96,28871.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.787,692.39,84.638,459.11,37.279,612.68,82.054,373.67,42.47,351.45,290.39,11.661,1360.89,256.45,59.278,122.18,887,73.693,NA,692.33,715.92,1353.83,293.4,961.02,69.922,746.95,574.23,281.94,36.135,338.08,436.38,3652.14,166.81,127.5,27.667,1919.98,91.94,897.29,36.824,431.56,2035.32,15114.8,1295.3,69.115,1123.6,273.96,22.897,11.627,22.548,362.91,29.442,167.13,25.558,NA,21.693,NA,NA
"7",2007-08-22,889.25,1139.94,243.36,9964.61,5968.9,79.664,159.53,562.65,34.887,53.24,79.355,2611.02,38.201,1095.95,1030.13,227.08,NA,NA,NA,2410.11,1203.33,825.94,162.49,658.81,175.18,378.01,144.25,184.31,345.03,257.42,115.27,154.58,3130.49,1051.72,119.35,1506.86,1950.98,182.68,9283.24,13193.69,13862.02,10151.47,7300.38,305.95,23.06,22793.02,1316.48,1001.49,8785.43,38759.54,203.14,138.32,308.75,NA,NA,53.037,NA,239.91,NA,1877.66,20.51,387.81,916.48,1471.5,154.96,464.05,208.11,235.9,28.726,86.636,243.68,NA,NA,NA,NA,NA,246.05,148.97,3538.47,168.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18003.8,577.63,76.254,642.02,4734.42,20561.97,44575.3,31371.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.93,733.59,92.484,476.72,40.182,636.19,85.169,384.09,48.87,360.02,290.07,11.552,1381.06,270.39,59.892,126.88,945.08,75.385,NA,730.79,759.01,1431.35,330.09,981.97,72.719,770.57,622.08,285.32,39.677,411.18,464.37,3786.09,176.72,133.14,33.9,1950.36,95.35,998.98,37.559,448.75,2123.46,15771.95,1360.81,69.416,1093.39,299,22.53,12.762,23.257,394.41,31.734,168.32,26.384,NA,22.416,NA,NA
"8",2007-08-23,926.45,1175.06,275.37,10233.14,5939.5,81.261,167.51,560.39,34.869,51.48,80.906,2611.02,38.162,1092.87,1036.06,223.69,NA,NA,NA,2479.65,1243.44,825.94,165.57,670,174.34,379.67,144.3,200.18,355.55,271.57,123.29,162.65,3322.45,1041.12,115.16,1506.86,1950.98,187.77,9497.47,13366.45,13812.95,10211.84,7661.72,308.08,23.68,22934.81,1308.98,1032.51,8859.83,38759.54,209.15,141.18,323.57,303.96,NA,53.924,NA,239.91,NA,1925.5,20.51,440.02,935.98,1512,154.48,464.05,213.96,246.61,28.726,87.631,247.27,NA,NA,NA,NA,NA,254.75,159.44,3701.79,171.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18003.8,589.89,76.254,634.86,4751.01,21375.84,44635.19,31111.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.443,770.85,97.936,480.29,43.095,675.85,86.439,398.54,48.659,372.27,292.35,11.886,1348.28,272.23,59.892,128.65,971.47,76.608,NA,767.33,765.97,1494.12,321.42,978.1,75.236,811.89,598.43,301.67,48.879,434.03,480.02,3803.94,182.21,131.39,32.475,1986.83,95.35,1033.81,38.482,469.3,2087.18,15662.46,1426.31,70.668,1096.14,313.42,22.602,13.69,24.061,392.74,32.06,169.9,27.354,NA,23.301,NA,NA
"9",2007-08-24,882.09,1232.37,296.13,10464.7,5939.5,83.65,171.07,560.85,37.067,55.97,83.93,2708.94,39.717,1081.62,1033.42,227.47,NA,NA,NA,2486.58,1227.4,810.36,167.62,656.35,174.34,378.01,144.84,212.09,346.7,266.34,143.34,167.83,3337.95,1041.12,119.14,1545.68,1933.4,194.24,9441.92,13267.77,13676.46,10266.76,7742.02,304.26,24.3,23057.64,1282.71,1111.45,9130.36,39054.9,235.59,144.96,295.82,303.96,NA,53.7,NA,260.97,NA,1913.96,21.08,452.02,926.23,1512,156.9,464.05,213.5,250.91,28.424,85.557,243.73,NA,NA,NA,NA,NA,248.39,162.3,3756.23,167.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18727.18,592.45,76.254,642.91,4875.51,21675.75,46432.62,31544.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.735,863.04,99.132,492.32,46.483,705.24,86.881,413.88,48.87,408.88,297.29,11.727,1335.69,280.12,58.019,128.06,1000.52,76.456,NA,763.49,759.63,1499.05,310.75,961.57,74.117,818.78,608.8,298.86,49.924,468.29,512.75,4062.9,185.28,131.88,32.087,2041.5,95.35,1083.77,38.197,581.76,2076.79,15983.74,1448.13,72.138,1098.88,325.56,24.212,13.756,23.893,384.46,32.117,168.32,28.523,NA,23.62,NA,NA
"10",2007-08-27,929.78,1263.18,310.73,10510.95,5939.5,83.55,176.71,551.72,38.661,56.81,87.904,2719.83,41.811,1080.58,1043.32,223.69,NA,NA,NA,2641.85,1243.44,825.94,162.83,657.57,178.53,374.68,148.79,200.38,323.76,269.22,151.35,168.89,3393.32,1089.32,115.16,1575.35,2014.95,199.33,9679.98,13240.28,13823.82,10255.73,7762.1,306.38,25.67,22443.37,1253.44,1092.6,8995.09,39128.67,259.39,148.66,320.32,303.59,NA,53.037,NA,265.55,NA,1913.55,21.59,459.01,941.83,1586.25,164.02,460.34,212.6,241.36,28.741,87.348,244.33,NA,NA,NA,NA,NA,252.72,160.87,3647.35,159.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18164.55,601.14,76.254,644.13,4735.46,21161.7,45264.32,31631.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.139,868.93,92.135,492.55,47.181,719.93,85.812,440.97,54.154,411.44,293.69,12.079,1334.42,288.8,59.741,128.06,1095.56,78.462,NA,788.49,771.04,1531.04,308.25,963.78,77.977,857.16,585.13,317.18,48.252,447.73,549.75,4216.47,191.81,134.84,33.25,2127.78,95.35,1082.02,38.658,594.74,2076.79,15932.61,1437.22,74.568,1082.4,327.83,24.315,14.102,24.198,377.83,32.645,168.32,29.485,NA,24.667,NA,NA
