"","Data","Otwarcie","Najwyzszy","Najnizszy","Zamkniecie","Wolumen"
"1",1994-12-29,1000,1000,1000,1000,154710
"2",1995-01-02,1059.5,1059.5,1059.5,1059.5,106231
"3",1995-01-03,1125.6,1125.6,1125.6,1125.6,257776
"4",1995-01-04,1082.3,1082.3,1082.3,1082.3,173381
"5",1995-01-05,1096.5,1096.5,1096.5,1096.5,125789
"6",1995-01-06,1030.4,1030.4,1030.4,1030.4,118810
"7",1995-01-09,1054.4,1054.4,1054.4,1054.4,139137
"8",1995-01-10,1037.2,1037.2,1037.2,1037.2,78380
"9",1995-01-11,1035.2,1035.2,1035.2,1035.2,122089
"10",1995-01-12,1060.9,1060.9,1060.9,1060.9,112778
"11",1995-01-13,1083.6,1083.6,1083.6,1083.6,106703
"12",1995-01-16,1087.3,1087.3,1087.3,1087.3,137829
"13",1995-01-17,1038.5,1038.5,1038.5,1038.5,69801
"14",1995-01-18,1028.8,1028.8,1028.8,1028.8,98526
"15",1995-01-19,1037,1037,1037,1037,86319
"16",1995-01-20,1013,1013,1013,1013,87303
"17",1995-01-23,976.1,976.1,976.1,976.1,71394
"18",1995-01-24,940.6,940.6,940.6,940.6,107261
"19",1995-01-25,942.4,942.4,942.4,942.4,87719
"20",1995-01-26,918.3,918.3,918.3,918.3,79749
"21",1995-01-27,905.6,905.6,905.6,905.6,80050
"22",1995-01-30,890.6,890.6,890.6,890.6,79239
"23",1995-01-31,850.7,850.7,850.7,850.7,79838
"24",1995-02-01,906.2,906.2,906.2,906.2,58980
"25",1995-02-02,852.5,852.5,852.5,852.5,79089
"26",1995-02-03,818,818,818,818,99797
"27",1995-02-06,894.4,894.4,894.4,894.4,48625
"28",1995-02-07,968.4,968.4,968.4,968.4,228483
"29",1995-02-08,948.4,948.4,948.4,948.4,148436
"30",1995-02-09,954,954,954,954,140478
"31",1995-02-10,904.9,904.9,904.9,904.9,67784
"32",1995-02-13,894.4,894.4,894.4,894.4,90180
"33",1995-02-14,920.5,920.5,920.5,920.5,129440
"34",1995-02-15,923.7,923.7,923.7,923.7,74907
"35",1995-02-16,939.7,939.7,939.7,939.7,118484
"36",1995-02-17,943.7,943.7,943.7,943.7,76746
"37",1995-02-20,913.6,913.6,913.6,913.6,52525
"38",1995-02-21,829.6,829.6,829.6,829.6,240213
"39",1995-02-22,846.8,846.8,846.8,846.8,92199
"40",1995-02-23,871,871,871,871,117308
"41",1995-02-24,954.7,954.7,954.7,954.7,244600
"42",1995-02-27,911.2,911.2,911.2,911.2,85520
"43",1995-02-28,892.1,892.1,892.1,892.1,46287
"44",1995-03-01,887.1,887.1,887.1,887.1,57492
"45",1995-03-02,901.5,901.5,901.5,901.5,51035
"46",1995-03-03,931.6,931.6,931.6,931.6,120845
"47",1995-03-06,933.3,933.3,933.3,933.3,52431
"48",1995-03-07,935.7,935.7,935.7,935.7,44804
"49",1995-03-08,932.1,932.1,932.1,932.1,37119
"50",1995-03-09,934.9,934.9,934.9,934.9,40052
"51",1995-03-10,910.7,910.7,910.7,910.7,64348
"52",1995-03-13,895.2,895.2,895.2,895.2,39750
"53",1995-03-14,878.4,878.4,878.4,878.4,43223
"54",1995-03-15,880.4,880.4,880.4,880.4,43945
"55",1995-03-16,870,870,870,870,29183
"56",1995-03-17,858.6,858.6,858.6,858.6,38817
"57",1995-03-20,847.6,847.6,847.6,847.6,61255
"58",1995-03-21,842.4,842.4,842.4,842.4,21587
"59",1995-03-22,835.3,835.3,835.3,835.3,40876
"60",1995-03-23,826.3,826.3,826.3,826.3,48835
"61",1995-03-24,831,831,831,831,53759
"62",1995-03-27,847.8,847.8,847.8,847.8,66794
"63",1995-03-28,823.8,823.8,823.8,823.8,88962
"64",1995-03-29,825.1,825.1,825.1,825.1,29663
"65",1995-03-30,842.4,842.4,842.4,842.4,81394
"66",1995-03-31,860.2,860.2,860.2,860.2,94694
"67",1995-04-03,864.1,864.1,864.1,864.1,47848
"68",1995-04-04,880.9,880.9,880.9,880.9,95299
"69",1995-04-05,886.7,886.7,886.7,886.7,92548
"70",1995-04-06,912.2,912.2,912.2,912.2,147311
"71",1995-04-07,932.6,932.6,932.6,932.6,126879
"72",1995-04-10,981.3,981.3,981.3,981.3,155436
"73",1995-04-11,983.2,983.2,983.2,983.2,167787
"74",1995-04-12,983.4,983.4,983.4,983.4,193952
"75",1995-04-13,938.7,938.7,938.7,938.7,161519
"76",1995-04-14,953.8,953.8,953.8,953.8,105197
"77",1995-04-18,990.8,990.8,990.8,990.8,106143
"78",1995-04-19,1021.4,1021.4,1021.4,1021.4,231033
"79",1995-04-20,1088.6,1088.6,1088.6,1088.6,195579
"80",1995-04-21,1079.5,1079.5,1079.5,1079.5,164112
"81",1995-04-24,1129,1129,1129,1129,131107
"82",1995-04-25,1184,1184,1184,1184,251024
"83",1995-04-26,1102.1,1102.1,1102.1,1102.1,145872
"84",1995-04-27,1127.2,1127.2,1127.2,1127.2,118371
"85",1995-04-28,1120,1120,1120,1120,163802
"86",1995-05-04,1125.7,1125.7,1125.7,1125.7,103975
"87",1995-05-05,1120.2,1120.2,1120.2,1120.2,132954
"88",1995-05-09,1136.7,1136.7,1136.7,1136.7,94826
"89",1995-05-10,1193.1,1193.1,1193.1,1193.1,182717
"90",1995-05-11,1243.1,1243.1,1243.1,1243.1,350377
"91",1995-05-12,1301.8,1301.8,1301.8,1301.8,324488
"92",1995-05-15,1334.8,1334.8,1334.8,1334.8,350863
"93",1995-05-16,1263,1263,1263,1263,122122
"94",1995-05-17,1219.6,1219.6,1219.6,1219.6,245424
"95",1995-05-18,1149.5,1149.5,1149.5,1149.5,297034
"96",1995-05-19,1119.4,1119.4,1119.4,1119.4,213448
"97",1995-05-22,1052.3,1052.3,1052.3,1052.3,152698
"98",1995-05-23,992.8,992.8,992.8,992.8,197887
"99",1995-05-24,1081.1,1081.1,1081.1,1081.1,150581
"100",1995-05-25,1144.9,1144.9,1144.9,1144.9,260546
"101",1995-05-26,1099.4,1099.4,1099.4,1099.4,112201
"102",1995-05-29,1151.7,1151.7,1151.7,1151.7,177989
"103",1995-05-30,1078.2,1078.2,1078.2,1078.2,126756
"104",1995-05-31,1089.5,1089.5,1089.5,1089.5,78584
"105",1995-06-01,1047.4,1047.4,1047.4,1047.4,77966
"106",1995-06-02,1056.1,1056.1,1056.1,1056.1,106271
"107",1995-06-05,1081.8,1081.8,1081.8,1081.8,78166
"108",1995-06-06,1030.2,1030.2,1030.2,1030.2,158927
"109",1995-06-07,1148.6,1148.6,1148.6,1148.6,124530
"110",1995-06-08,1138.1,1138.1,1138.1,1138.1,145286
"111",1995-06-09,1129.8,1129.8,1129.8,1129.8,47437
"112",1995-06-12,1105.7,1105.7,1105.7,1105.7,68536
"113",1995-06-13,1103.9,1103.9,1103.9,1103.9,66871
