"",".","stock_name","ticker","sector","agg_sector"
"1",6996,"Date",NA,NA,NA
"2",2571,"11BIT","11B","Gry video","tech"
"3",1947,"HUBSTYLE","HUB","Media","handel_uslugi"
"4",2553,"4FUNMEDIA","4FM","Media","handel_uslugi"
"5",3507,"ABPL","ABE","Handel hurtowy","handel_uslugi"
"6",2161,"ACAUTOGAZ","ACG","Motoryzacja","dobr_kons"
"7",3639,"ACTION","ACT","Handel hurtowy","handel_uslugi"
"8",1371,"ADIUVO","ADV","Ochrona zdrowia","ochrona_zdr"
"9",5467,"AGORA","AGO","Media","handel_uslugi"
"10",2559,"AGROTON","AGT","Produkcja ¿ywnoœci","dobr_kons"
"11",2304,"AILLERON","ALL","Informatyka","tech"
"12",1514,"AIRWAY","AWM","Ochrona zdrowia","ochrona_zdr"
"13",2041,"ALIOR","ALR","Banki","finanse"
"14",127,"AIGAMES","ALG","Gry video","tech"
"15",57,"ALLEGRO","ALE","Handel internetowy","handel_uslugi"
"16",5074,"ALTA","AAT","Nieruchomoœci","prod_bud"
"17",1617,"ALTUSTFI","ALI","Rynek kapita³owy","finanse"
"18",1650,"ALUMETAL","AML","Hutnictwo","chem_sur"
"19",3890,"AMBRA","AMB","Produkcja ¿ywnoœci","dobr_kons"
"20",5868,"AMICA","AMC","Wyposa¿enie domu","dobr_kons"
"21",3955,"AMREST","EAT","Rekreacja i wypoczynek","handel_uslugi"
"22",5935,"APATOR","APT","Elektromaszynowy","prod_przem"
"23",2802,"APLISENS","APN","Elektromaszynowy","prod_przem"
"24",1594,"APSENERGY","APE","Elektromaszynowy","prod_przem"
"25",1105,"ARCHICOM","ARH","Nieruchomoœci","prod_bud"
"26",2818,"ARCTIC","ATC","Drewno i papier","chem_sur"
"27",3441,"ARTERIA","ARR","Us³ugi dla przedsiêbiorstw","prod_przem"
"28",1066,"ARTIFEX","ART","Gry video","tech"
"29",3245,"ASBIS","ASB","Handel hurtowy","handel_uslugi"
"30",490,"ASMGROUP","ASM","Media","handel_uslugi"
"31",3227,"ASSECOBS","ABS","Informatyka","tech"
"32",5691,"ASSECOPOL","ACP","Informatyka","tech"
"33",2542,"ASSECOSEE","ASE","Informatyka","tech"
"34",3616,"ASTARTA","AST","Produkcja ¿ywnoœci","dobr_kons"
"35",1394,"ATAL","1AT","Nieruchomoœci","prod_bud"
"36",2137,"ATENDE","ATD","Informatyka","tech"
