"",".","stock_name","ticker","sector","agg_sector"
"1",4012,"CIECH","CIE","Chemia","chem_materials"
"2",3166,"GRUPAAZOTY","ATT","Chemia","chem_materials"
"3",2041,"PCCEXOL","PCX","Chemia","chem_materials"
"4",1666,"PCCROKITA","PCR","Chemia","chem_materials"
"5",3788,"POLICE","PCE","Chemia","chem_materials"
"6",1595,"POLWAX","PWX","Chemia","chem_materials"
"7",3831,"PULAWY","ZAP","Chemia","chem_materials"
"8",2818,"ARCTIC","ATC","Drewno i papier","chem_materials"
"9",2352,"DREWEX","DRE","Drewno i papier","chem_materials"
"10",5255,"KOMPAP","KMP","Drewno i papier","chem_materials"
"11",1535,"KPPD","KPD","Drewno i papier","chem_materials"
"12",2406,"JSW","JSW","Górnictwo","chem_materials"
"13",5913,"KGHM","KGH","Górnictwo","chem_materials"
"14",2919,"BOGDANKA","LWB","Górnictwo","chem_materials"
"15",1353,"PRAIRIE","PDZ","Górnictwo","chem_materials"
"16",3968,"ERG","ERG","Tworzywa i guma","chem_materials"
"17",1988,"IZOBLOK","IZB","Tworzywa i guma","chem_materials"
"18",4180,"PLASTBOX","PLX","Tworzywa i guma","chem_materials"
"19",3450,"RADPOL","RDL","Tworzywa i guma","chem_materials"
"20",4836,"SUWARY","SUW","Tworzywa i guma","chem_materials"
"21",1650,"ALUMETAL","AML","Hutnictwo","chem_materials"
"22",6157,"BORYSZEW","BRS","Hutnictwo","chem_materials"
"23",5945,"COGNOR","COG","Hutnictwo","chem_materials"
"24",5612,"FERRUM","FER","Hutnictwo","chem_materials"
"25",6265,"KETY","KTY","Hutnictwo","chem_materials"
"26",5433,"MENNICA","MNC","Hutnictwo","chem_materials"
"27",5615,"ODLEWNIE","ODL","Hutnictwo","chem_materials"
"28",808,"PGO","PGO","Hutnictwo","chem_materials"
"29",5794,"STALPROD","STP","Hutnictwo","chem_materials"
"30",2842,"EKOEXPORT","EEX","Recykling","chem_materials"
"31",2130,"ELEMENTAL","EMT","Recykling","chem_materials"
"32",3013,"KREC","KRC","Recykling","chem_materials"
"33",3265,"ORZBIALY","OBL","Recykling","chem_materials"
"34",NA,NA,NA,"Inne dobra konsumpcyjne","consumer_goods"
